Forêt territoriale;Essences;% de la surface boisée en ha;commune
['TAVIGNANO'];['Divers'];5.0; Corte, Riventosa, Santo-Pietro-di-Venaco
['FIUMORBU'];['Pin laricio de Corse'];5.0;Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['TARTAGINE'];['Pin maritime'];5.0;Olmi-Cappella, Pioggiola, Vallica
['MARMANO'];['Bouleau verruqueux'];5.0;Ghisoni, Palneca
['CHIAVARI'];['Aulne glutineux'];5.0;;;Coti-Chiavari, Pietrosella
['SANT-ANTONE'];['Pin laricio de Corse'];45.0;Cozzano, Palneca
['TARTAGINE'];['Arbousier'];4.4;Olmi-Cappella, Pioggiola, Vallica
['VALDO-NIELLO'];['Hêtre'];4.0;Asco, Castifao, Moltifao, Morosaglia, Omessa, Piedigriggio, Popolasca, Prato-di-Giovellina, Soveria
['MARMANO'];['Divers'];4.0;Ghisoni, Palneca
['BAVELLA-SAMBUCU'];['Chêne vert'];4.0;Conca, Sari-Solenzara, Zonza
['TOVA'];['Pin maritime'];36.0;Corte, Venaco
['PUNTENIELLO'];['Divers'];36.0;Ciamannacce, Tasso
['BAVELLA-SAMBUCU'];['Pin laricio de Corse'];35.0;Conca, Sari-Solenzara, Zonza
['VALDO-NIELLO'];['Divers'];34.0;Asco, Castifao, Moltifao, Morosaglia, Omessa, Piedigriggio, Popolasca, Prato-di-Giovellina, Soveria
['FIUMORBU'];['Hêtre'];34.0; Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['BAVELLA-SAMBUCU'];['Arbousier'];33.0;Conca, Sari-Solenzara, Zonza
['FIUMORBU'];['Arbousier'];30.0;Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['FANGO'];['Pin maritime'];3.0;Galéria, Manso
['ZONZA'];['Sapin pectiné'];3.0;San-Gavino-di-Carbini, Zonza
['MARMANO'];['Aulne odorant'];3.0;Ghisoni, Palneca
['CHIAVARI'];['Chêne liège'];3.0;Coti-Chiavari, Pietrosella
['CHIAVARI'];['Pin maritime'];3.0;Coti-Chiavari, Pietrosella
['BAVELLA-SAMBUCU'];['Divers'];3.0;Conca, Sari-Solenzara, Zonza
['COSCIONE'];['Divers'];3.0;Zicavo, Aullène, Olivese
['TOVA'];['Pin laricio de Corse'];26.0;Corte, Venaco
['TOVA'];['Divers'];26.0;Corte, Venaco
['ZONZA'];['Pin laricio de Corse'];24.0;San-Gavino-di-Carbini, Zonza
['MARMANO'];['Hêtre'];21.0;Ghisoni, Palneca
['AÏTONE'];['Divers'];21.0;Évisa, Cristinacce
['OSPEDALE'];['Arbousier'];20.0;Porto-Vecchio, San-Gavino-di-Carbini, Carbini, Zonza, Conca
['STELLA'];['Chêne pubescent'];20.0;Alando, Alzi, Bustanico, Cambia, Carticasi, Erbajolo, Focicchia, Giuncaggio, Lano, Noceta, Piedicorte-di-Gaggio, Pietraserena, Poggio-Marinaccio, Prato-di-Giovellina, Rusio, San-Lorenzo, Santa-Lucia-di-Mercurio, Sermano, Tralonca
['MARMANO'];['Sapin pectiné'];2.0;Ghisoni, Palneca
['PUNTENIELLO'];['Aulne vert'];2.0;Ciamannacce, Tasso
['FIUMORBU'];['Chêne vert'];2.0;Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['TAVIGNANO'];['Hêtre'];2.0;Corte, Riventosa, Santo-Pietro-di-Venaco
